GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - Under .50,Margin of Error; Total: - Under .50,Estimate; Total: - .50 to .99,Margin of Error; Total: - .50 to .99,Estimate; Total: - 1.00 to 1.24,Margin of Error; Total: - 1.00 to 1.24,Estimate; Total: - 1.25 to 1.49,Margin of Error; Total: - 1.25 to 1.49,Estimate; Total: - 1.50 to 1.84,Margin of Error; Total: - 1.50 to 1.84,Estimate; Total: - 1.85 to 1.99,Margin of Error; Total: - 1.85 to 1.99,Estimate; Total: - 2.00 and over,Margin of Error; Total: - 2.00 and over
1500000US110010074012,110010074012,"Block Group 2, Census Tract 74.01, District of Columbia, District of Columbia",1106,226,426,144,289,146,178,101,35,31,33,26,0,12,145,80
1500000US110010074031,110010074031,"Block Group 1, Census Tract 74.03, District of Columbia, District of Columbia",3192,374,681,327,621,345,281,190,347,286,99,93,120,115,1043,304
1500000US110010074041,110010074041,"Block Group 1, Census Tract 74.04, District of Columbia, District of Columbia",2098,635,390,340,438,368,351,343,111,166,63,98,90,97,655,329
1500000US110010074042,110010074042,"Block Group 2, Census Tract 74.04, District of Columbia, District of Columbia",1533,675,502,537,0,12,48,71,0,12,144,187,32,51,807,411
1500000US110010074043,110010074043,"Block Group 3, Census Tract 74.04, District of Columbia, District of Columbia",154,138,18,29,66,104,0,12,0,12,0,12,0,12,70,106
1500000US110010074061,110010074061,"Block Group 1, Census Tract 74.06, District of Columbia, District of Columbia",1759,487,387,255,124,120,129,115,0,12,361,389,140,179,618,252
1500000US110010074062,110010074062,"Block Group 2, Census Tract 74.06, District of Columbia, District of Columbia",1190,385,339,252,452,289,57,59,0,12,65,103,0,12,277,198
1500000US110010074071,110010074071,"Block Group 1, Census Tract 74.07, District of Columbia, District of Columbia",807,242,112,95,24,38,281,206,0,12,0,12,80,126,310,129
1500000US110010074072,110010074072,"Block Group 2, Census Tract 74.07, District of Columbia, District of Columbia",2068,236,251,176,297,130,114,112,31,40,221,161,19,28,1135,246
1500000US110010074081,110010074081,"Block Group 1, Census Tract 74.08, District of Columbia, District of Columbia",2992,410,985,372,609,288,209,150,101,73,314,230,85,109,689,228
1500000US110010074091,110010074091,"Block Group 1, Census Tract 74.09, District of Columbia, District of Columbia",1099,366,219,249,38,44,14,23,121,180,105,87,7,10,595,209
1500000US110010074092,110010074092,"Block Group 2, Census Tract 74.09, District of Columbia, District of Columbia",1310,353,224,237,262,229,98,100,98,115,153,138,0,12,475,176
1500000US110010074093,110010074093,"Block Group 3, Census Tract 74.09, District of Columbia, District of Columbia",1485,419,220,135,240,205,40,40,301,337,91,85,20,31,573,230
1500000US110010075021,110010075021,"Block Group 1, Census Tract 75.02, District of Columbia, District of Columbia",3158,640,756,410,781,548,273,208,133,217,277,216,20,23,918,388
1500000US110010075022,110010075022,"Block Group 2, Census Tract 75.02, District of Columbia, District of Columbia",1757,406,704,391,188,93,112,108,64,56,71,67,45,50,573,258
1500000US110010075031,110010075031,"Block Group 1, Census Tract 75.03, District of Columbia, District of Columbia",648,181,120,114,106,68,25,26,0,12,18,28,95,124,284,97
1500000US110010075032,110010075032,"Block Group 2, Census Tract 75.03, District of Columbia, District of Columbia",2000,316,240,112,742,305,22,22,115,110,148,117,0,12,733,265
1500000US110010075041,110010075041,"Block Group 1, Census Tract 75.04, District of Columbia, District of Columbia",2885,399,721,316,514,253,249,145,241,234,78,56,41,63,1041,315
1500000US110010076011,110010076011,"Block Group 1, Census Tract 76.01, District of Columbia, District of Columbia",877,315,0,12,90,103,0,12,157,210,0,12,10,16,620,268
1500000US110010076012,110010076012,"Block Group 2, Census Tract 76.01, District of Columbia, District of Columbia",260,95,19,30,47,51,29,44,0,12,0,12,7,12,158,79
1500000US110010076013,110010076013,"Block Group 3, Census Tract 76.01, District of Columbia, District of Columbia",2081,551,239,175,236,178,48,57,318,319,183,193,4,10,1053,446
1500000US110010076014,110010076014,"Block Group 4, Census Tract 76.01, District of Columbia, District of Columbia",756,323,32,52,138,156,181,165,19,32,38,58,71,127,277,190
1500000US110010076015,110010076015,"Block Group 5, Census Tract 76.01, District of Columbia, District of Columbia",900,376,47,49,196,151,150,214,0,12,14,18,0,12,493,287
1500000US110010076031,110010076031,"Block Group 1, Census Tract 76.03, District of Columbia, District of Columbia",1578,553,376,416,67,62,15,24,240,297,83,90,18,27,779,275
1500000US110010076032,110010076032,"Block Group 2, Census Tract 76.03, District of Columbia, District of Columbia",402,193,2,4,23,30,1,4,0,12,64,107,0,12,312,167
1500000US110010076033,110010076033,"Block Group 3, Census Tract 76.03, District of Columbia, District of Columbia",854,440,293,420,0,12,0,12,10,17,0,12,18,28,533,329
1500000US110010076034,110010076034,"Block Group 4, Census Tract 76.03, District of Columbia, District of Columbia",1200,422,296,285,42,66,17,25,0,12,57,70,0,12,788,352
1500000US110010076041,110010076041,"Block Group 1, Census Tract 76.04, District of Columbia, District of Columbia",1412,384,595,336,74,55,32,37,53,40,39,40,9,14,610,217
1500000US110010076042,110010076042,"Block Group 2, Census Tract 76.04, District of Columbia, District of Columbia",1401,318,32,36,87,115,0,12,28,33,93,83,28,44,1133,273
