GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,"Estimate; Total: - Less than $10,000","Margin of Error; Total: - Less than $10,000","Estimate; Total: - $10,000 to $14,999","Margin of Error; Total: - $10,000 to $14,999","Estimate; Total: - $15,000 to $19,999","Margin of Error; Total: - $15,000 to $19,999","Estimate; Total: - $20,000 to $24,999","Margin of Error; Total: - $20,000 to $24,999","Estimate; Total: - $25,000 to $29,999","Margin of Error; Total: - $25,000 to $29,999","Estimate; Total: - $30,000 to $34,999","Margin of Error; Total: - $30,000 to $34,999","Estimate; Total: - $35,000 to $39,999","Margin of Error; Total: - $35,000 to $39,999","Estimate; Total: - $40,000 to $44,999","Margin of Error; Total: - $40,000 to $44,999","Estimate; Total: - $45,000 to $49,999","Margin of Error; Total: - $45,000 to $49,999","Estimate; Total: - $50,000 to $59,999","Margin of Error; Total: - $50,000 to $59,999","Estimate; Total: - $60,000 to $74,999","Margin of Error; Total: - $60,000 to $74,999","Estimate; Total: - $75,000 to $99,999","Margin of Error; Total: - $75,000 to $99,999","Estimate; Total: - $100,000 to $124,999","Margin of Error; Total: - $100,000 to $124,999","Estimate; Total: - $125,000 to $149,999","Margin of Error; Total: - $125,000 to $149,999","Estimate; Total: - $150,000 to $199,999","Margin of Error; Total: - $150,000 to $199,999","Estimate; Total: - $200,000 or more","Margin of Error; Total: - $200,000 or more"
1500000US110010099032,110010099032,"Block Group 2, Census Tract 99.03, District of Columbia, District of Columbia",253,64,9,12,0,12,0,12,33,29,14,17,7,11,9,13,0,12,5,7,22,35,37,41,33,22,20,32,46,47,0,12,18,20
1500000US110010099041,110010099041,"Block Group 1, Census Tract 99.04, District of Columbia, District of Columbia",287,75,60,36,24,23,27,24,29,29,0,12,5,8,7,13,16,18,12,21,20,24,13,13,19,19,48,36,0,12,7,10,0,12
1500000US110010099042,110010099042,"Block Group 2, Census Tract 99.04, District of Columbia, District of Columbia",738,85,166,74,41,25,53,41,39,30,29,21,83,53,49,35,14,17,30,26,42,33,25,19,59,30,24,17,38,34,14,21,32,23
1500000US110010099051,110010099051,"Block Group 1, Census Tract 99.05, District of Columbia, District of Columbia",430,98,31,39,67,46,7,11,33,31,32,31,0,12,35,46,43,35,38,43,53,47,14,21,21,22,8,12,0,12,35,31,13,19
1500000US110010099052,110010099052,"Block Group 2, Census Tract 99.05, District of Columbia, District of Columbia",313,80,68,46,18,30,16,17,20,32,0,12,7,12,24,38,0,12,12,18,33,40,28,25,23,24,64,57,0,12,0,12,0,12
1500000US110010099053,110010099053,"Block Group 3, Census Tract 99.05, District of Columbia, District of Columbia",364,93,57,48,17,19,0,12,18,28,26,31,23,27,0,12,41,46,55,49,21,23,27,27,37,42,20,23,0,12,8,11,14,21
1500000US110010099061,110010099061,"Block Group 1, Census Tract 99.06, District of Columbia, District of Columbia",678,59,99,45,43,28,39,30,42,28,39,31,9,10,48,29,48,27,40,29,98,48,48,21,75,40,26,23,13,14,6,8,5,7
1500000US110010099071,110010099071,"Block Group 1, Census Tract 99.07, District of Columbia, District of Columbia",243,84,64,45,17,20,0,12,14,22,29,33,0,12,0,12,0,12,0,12,16,22,0,12,61,44,9,14,21,26,0,12,12,20
1500000US110010099072,110010099072,"Block Group 2, Census Tract 99.07, District of Columbia, District of Columbia",927,101,270,124,42,40,94,58,57,57,79,75,8,15,88,61,68,62,0,12,101,67,44,56,40,37,9,16,0,12,27,32,0,12
1500000US110010101001,110010101001,"Block Group 1, Census Tract 101, District of Columbia, District of Columbia",1244,114,97,63,44,50,29,25,25,24,41,39,75,48,10,15,43,45,30,28,39,28,45,35,187,73,117,52,160,81,172,74,130,58
1500000US110010101002,110010101002,"Block Group 2, Census Tract 101, District of Columbia, District of Columbia",548,93,56,40,25,29,16,18,26,32,11,18,8,11,8,13,32,27,20,22,33,28,36,30,128,57,30,28,79,64,10,13,30,27
1500000US110010102001,110010102001,"Block Group 1, Census Tract 102, District of Columbia, District of Columbia",494,70,0,12,26,24,0,12,19,29,0,12,17,19,7,11,15,16,6,10,15,17,52,25,51,30,84,55,29,26,97,55,76,33
1500000US110010102002,110010102002,"Block Group 2, Census Tract 102, District of Columbia, District of Columbia",855,98,42,46,8,12,7,12,0,12,0,12,17,18,11,14,14,16,49,55,56,39,68,38,174,67,173,81,80,55,94,54,62,42
1500000US110010103001,110010103001,"Block Group 1, Census Tract 103, District of Columbia, District of Columbia",261,57,7,11,8,12,0,12,0,12,0,12,13,15,30,34,8,12,24,29,8,12,58,49,8,11,7,13,38,36,52,31,0,12
1500000US110010103002,110010103002,"Block Group 2, Census Tract 103, District of Columbia, District of Columbia",445,78,30,29,14,15,43,61,29,31,16,16,14,17,18,29,6,12,11,16,15,13,72,44,43,37,64,40,25,27,29,23,16,28
