OFFENSE,BLOCK_GROUP,COUNT(*)
"SEX ABUSE","010400 1",14
"SEX ABUSE","010400 2",19
"SEX ABUSE","010500 1",8
"SEX ABUSE","010500 2",2
"SEX ABUSE","010600 1",20
"SEX ABUSE","010600 2",20
"SEX ABUSE","010600 3",2
"SEX ABUSE","010700 1",13
"SEX ABUSE","010700 2",14
"SEX ABUSE","010800 1",7
"SEX ABUSE","010800 2",6
"SEX ABUSE","010800 3",8
"SEX ABUSE","010900 1",8
"SEX ABUSE","010900 2",8
"SEX ABUSE","011000 1",1
"SEX ABUSE","011000 2",1
"SEX ABUSE","011000 3",1
"SEX ABUSE","011000 4",1
"SEX ABUSE","011100 1",10
"SEX ABUSE","011100 2",8
"SEX ABUSE","011100 3",6
