id2,BG_ID,BG_NAME,Geography,Population,Pct_Poverty,Pct_UnEmpl,Pct_VacUnits
1.10E+11,A095091,"Block Group 1, Census Tract 95.09, District of Columbia, District of Columbia","Block Group 1, Census Tract 95.09, District of Columbia, District of Columbia",1430,2.097902098,20.42042042,5.761316872
1.10E+11,A095092,"Block Group 2, Census Tract 95.09, District of Columbia, District of Columbia","Block Group 2, Census Tract 95.09, District of Columbia, District of Columbia",802,4.987531172,11.58940397,8.375634518
1.10E+11,A095093,"Block Group 3, Census Tract 95.09, District of Columbia, District of Columbia","Block Group 3, Census Tract 95.09, District of Columbia, District of Columbia",1077,4.921077066,14.77079796,5.102040816
1.10E+11,A096011,"Block Group 1, Census Tract 96.01, District of Columbia, District of Columbia","Block Group 1, Census Tract 96.01, District of Columbia, District of Columbia",2383,42.70568278,30.31809145,7.508161045
1.10E+11,A096021,"Block Group 1, Census Tract 96.02, District of Columbia, District of Columbia","Block Group 1, Census Tract 96.02, District of Columbia, District of Columbia",1530,42.15686275,17.77456647,6.056701031
1.10E+11,A096022,"Block Group 2, Census Tract 96.02, District of Columbia, District of Columbia","Block Group 2, Census Tract 96.02, District of Columbia, District of Columbia",2143,44.0970602,25.30266344,4.446854664
1.10E+11,A096031,"Block Group 1, Census Tract 96.03, District of Columbia, District of Columbia","Block Group 1, Census Tract 96.03, District of Columbia, District of Columbia",1694,17.76859504,19.24629879,9.540229885
1.10E+11,A096032,"Block Group 2, Census Tract 96.03, District of Columbia, District of Columbia","Block Group 2, Census Tract 96.03, District of Columbia, District of Columbia",601,1.164725458,12.20338983,15.6462585
1.10E+11,A096033,"Block Group 3, Census Tract 96.03, District of Columbia, District of Columbia","Block Group 3, Census Tract 96.03, District of Columbia, District of Columbia",1219,15.63275434,23.36769759,9.800918836
1.10E+11,A096041,"Block Group 1, Census Tract 96.04, District of Columbia, District of Columbia","Block Group 1, Census Tract 96.04, District of Columbia, District of Columbia",1364,9.548482605,3.824362606,4.334365325
1.10E+11,A096042,"Block Group 2, Census Tract 96.04, District of Columbia, District of Columbia","Block Group 2, Census Tract 96.04, District of Columbia, District of Columbia",759,15.67852437,16.36828645,7.881773399
1.10E+11,A097001,"Block Group 1, Census Tract 97, District of Columbia, District of Columbia","Block Group 1, Census Tract 97, District of Columbia, District of Columbia",2567,35.97178683,24.87462387,6.557377049
1.10E+11,A097002,"Block Group 2, Census Tract 97, District of Columbia, District of Columbia","Block Group 2, Census Tract 97, District of Columbia, District of Columbia",867,36.33217993,36.91983122,14.83516484
1.10E+11,A098011,"Block Group 1, Census Tract 98.01, District of Columbia, District of Columbia","Block Group 1, Census Tract 98.01, District of Columbia, District of Columbia",2373,43.94987035,27.14617169,12.04569055
1.10E+11,A098021,"Block Group 1, Census Tract 98.02, District of Columbia, District of Columbia","Block Group 1, Census Tract 98.02, District of Columbia, District of Columbia",635,67.55905512,59.375,45.2991453
1.10E+11,A098022,"Block Group 2, Census Tract 98.02, District of Columbia, District of Columbia","Block Group 2, Census Tract 98.02, District of Columbia, District of Columbia",1122,31.81818182,26.3681592,15.625
1.10E+11,A098031,"Block Group 1, Census Tract 98.03, District of Columbia, District of Columbia","Block Group 1, Census Tract 98.03, District of Columbia, District of Columbia",853,44.19695193,22.99168975,18.52731591
1.10E+11,A098032,"Block Group 2, Census Tract 98.03, District of Columbia, District of Columbia","Block Group 2, Census Tract 98.03, District of Columbia, District of Columbia",894,51.67785235,32.87671233,23.69077307
1.10E+11,A098033,"Block Group 3, Census Tract 98.03, District of Columbia, District of Columbia","Block Group 3, Census Tract 98.03, District of Columbia, District of Columbia",1039,49.47064485,38.20224719,9.375
1.10E+11,A098041,"Block Group 1, Census Tract 98.04, District of Columbia, District of Columbia","Block Group 1, Census Tract 98.04, District of Columbia, District of Columbia",1838,36.61588683,21.89859763,10.4665826
1.10E+11,A098042,"Block Group 2, Census Tract 98.04, District of Columbia, District of Columbia","Block Group 2, Census Tract 98.04, District of Columbia, District of Columbia",996,29.41767068,34.17721519,0
1.10E+11,A098071,"Block Group 1, Census Tract 98.07, District of Columbia, District of Columbia","Block Group 1, Census Tract 98.07, District of Columbia, District of Columbia",655,23.96946565,13.55421687,12.54237288
