GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - For rent,Margin of Error; Total: - For rent,"Estimate; Total: - Rented, not occupied","Margin of Error; Total: - Rented, not occupied",Estimate; Total: - For sale only,Margin of Error; Total: - For sale only,"Estimate; Total: - Sold, not occupied","Margin of Error; Total: - Sold, not occupied","Estimate; Total: - For seasonal, recreational, or occasional use","Margin of Error; Total: - For seasonal, recreational, or occasional use",Estimate; Total: - For migrant workers,Margin of Error; Total: - For migrant workers,Estimate; Total: - Other vacant,Margin of Error; Total: - Other vacant
1500000US110010036002,110010036002,"Block Group 2, Census Tract 36, District of Columbia, District of Columbia",102,106,57,81,45,70,0,12,0,12,0,12,0,12,0,12
1500000US110010036003,110010036003,"Block Group 3, Census Tract 36, District of Columbia, District of Columbia",0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1500000US110010037001,110010037001,"Block Group 1, Census Tract 37, District of Columbia, District of Columbia",0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1500000US110010037002,110010037002,"Block Group 2, Census Tract 37, District of Columbia, District of Columbia",157,110,92,86,0,12,0,12,0,12,0,12,0,12,65,73
1500000US110010037003,110010037003,"Block Group 3, Census Tract 37, District of Columbia, District of Columbia",63,71,63,71,0,12,0,12,0,12,0,12,0,12,0,12
1500000US110010038001,110010038001,"Block Group 1, Census Tract 38, District of Columbia, District of Columbia",47,77,0,12,0,12,0,12,47,77,0,12,0,12,0,12
1500000US110010038002,110010038002,"Block Group 2, Census Tract 38, District of Columbia, District of Columbia",45,68,0,12,45,68,0,12,0,12,0,12,0,12,0,12
1500000US110010038003,110010038003,"Block Group 3, Census Tract 38, District of Columbia, District of Columbia",48,77,0,12,0,12,0,12,0,12,0,12,0,12,48,77
1500000US110010039001,110010039001,"Block Group 1, Census Tract 39, District of Columbia, District of Columbia",83,95,48,75,35,58,0,12,0,12,0,12,0,12,0,12
1500000US110010039002,110010039002,"Block Group 2, Census Tract 39, District of Columbia, District of Columbia",0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1500000US110010039003,110010039003,"Block Group 3, Census Tract 39, District of Columbia, District of Columbia",84,97,0,12,0,12,0,12,0,12,0,12,0,12,84,97
1500000US110010039004,110010039004,"Block Group 4, Census Tract 39, District of Columbia, District of Columbia",100,112,0,12,0,12,0,12,0,12,0,12,0,12,100,112
1500000US110010040011,110010040011,"Block Group 1, Census Tract 40.01, District of Columbia, District of Columbia",49,62,49,62,0,12,0,12,0,12,0,12,0,12,0,12
1500000US110010040012,110010040012,"Block Group 2, Census Tract 40.01, District of Columbia, District of Columbia",46,56,0,12,0,12,0,12,0,12,13,21,0,12,33,50
1500000US110010040013,110010040013,"Block Group 3, Census Tract 40.01, District of Columbia, District of Columbia",102,63,50,76,14,23,0,12,0,12,0,12,0,12,38,62
1500000US110010040021,110010040021,"Block Group 1, Census Tract 40.02, District of Columbia, District of Columbia",27,43,0,12,0,12,0,12,0,12,27,43,0,12,0,12
1500000US110010040022,110010040022,"Block Group 2, Census Tract 40.02, District of Columbia, District of Columbia",27,43,27,43,0,12,0,12,0,12,0,12,0,12,0,12
1500000US110010040023,110010040023,"Block Group 3, Census Tract 40.02, District of Columbia, District of Columbia",62,61,62,61,0,12,0,12,0,12,0,12,0,12,0,12
1500000US110010041001,110010041001,"Block Group 1, Census Tract 41, District of Columbia, District of Columbia",145,90,46,52,0,12,0,12,0,12,73,63,0,12,26,41
1500000US110010041002,110010041002,"Block Group 2, Census Tract 41, District of Columbia, District of Columbia",62,61,52,58,0,12,0,12,0,12,10,16,0,12,0,12
1500000US110010041003,110010041003,"Block Group 3, Census Tract 41, District of Columbia, District of Columbia",42,43,0,12,0,12,0,12,0,12,0,12,0,12,42,43
1500000US110010042011,110010042011,"Block Group 1, Census Tract 42.01, District of Columbia, District of Columbia",0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1500000US110010042012,110010042012,"Block Group 2, Census Tract 42.01, District of Columbia, District of Columbia",0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1500000US110010042021,110010042021,"Block Group 1, Census Tract 42.02, District of Columbia, District of Columbia",59,59,0,12,0,12,28,45,0,12,10,15,0,12,21,34
1500000US110010042022,110010042022,"Block Group 2, Census Tract 42.02, District of Columbia, District of Columbia",126,86,56,60,0,12,0,12,0,12,13,19,0,12,57,64
1500000US110010043001,110010043001,"Block Group 1, Census Tract 43, District of Columbia, District of Columbia",85,78,61,69,0,12,24,38,0,12,0,12,0,12,0,12
1500000US110010043002,110010043002,"Block Group 2, Census Tract 43, District of Columbia, District of Columbia",65,73,0,12,0,12,33,47,0,12,0,12,0,12,32,53
1500000US110010044001,110010044001,"Block Group 1, Census Tract 44, District of Columbia, District of Columbia",44,55,12,22,0,12,0,12,0,12,0,12,0,12,32,51
1500000US110010044002,110010044002,"Block Group 2, Census Tract 44, District of Columbia, District of Columbia",35,54,0,12,0,12,35,54,0,12,0,12,0,12,0,12
1500000US110010046001,110010046001,"Block Group 1, Census Tract 46, District of Columbia, District of Columbia",71,66,0,12,0,12,71,66,0,12,0,12,0,12,0,12
1500000US110010046002,110010046002,"Block Group 2, Census Tract 46, District of Columbia, District of Columbia",86,60,0,12,0,12,12,17,21,32,0,12,0,12,53,61
1500000US110010047011,110010047011,"Block Group 1, Census Tract 47.01, District of Columbia, District of Columbia",35,58,0,12,0,12,0,12,0,12,0,12,0,12,35,58
1500000US110010047012,110010047012,"Block Group 2, Census Tract 47.01, District of Columbia, District of Columbia",214,136,35,56,0,12,69,79,73,82,0,12,0,12,37,60
1500000US110010047021,110010047021,"Block Group 1, Census Tract 47.02, District of Columbia, District of Columbia",78,49,46,40,13,20,13,22,0,12,6,8,0,12,0,12
1500000US110010048011,110010048011,"Block Group 1, Census Tract 48.01, District of Columbia, District of Columbia",131,75,44,47,0,12,28,36,0,12,0,12,0,12,59,54
1500000US110010048021,110010048021,"Block Group 1, Census Tract 48.02, District of Columbia, District of Columbia",68,68,0,12,0,12,0,12,0,12,43,54,0,12,25,39
1500000US110010048022,110010048022,"Block Group 2, Census Tract 48.02, District of Columbia, District of Columbia",78,71,52,59,0,12,0,12,0,12,26,43,0,12,0,12
1500000US110010049011,110010049011,"Block Group 1, Census Tract 49.01, District of Columbia, District of Columbia",18,24,0,12,15,23,3,6,0,12,0,12,0,12,0,12
1500000US110010049012,110010049012,"Block Group 2, Census Tract 49.01, District of Columbia, District of Columbia",61,44,0,12,20,24,0,12,0,12,0,12,0,12,41,37
1500000US110010049021,110010049021,"Block Group 1, Census Tract 49.02, District of Columbia, District of Columbia",0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1500000US110010049022,110010049022,"Block Group 2, Census Tract 49.02, District of Columbia, District of Columbia",108,71,74,61,34,40,0,12,0,12,0,12,0,12,0,12
1500000US110010050011,110010050011,"Block Group 1, Census Tract 50.01, District of Columbia, District of Columbia",26,30,13,21,0,12,13,21,0,12,0,12,0,12,0,12
1500000US110010050012,110010050012,"Block Group 2, Census Tract 50.01, District of Columbia, District of Columbia",41,35,0,12,0,12,0,12,0,12,14,21,0,12,27,30
1500000US110010050021,110010050021,"Block Group 1, Census Tract 50.02, District of Columbia, District of Columbia",38,64,38,64,0,12,0,12,0,12,0,12,0,12,0,12
1500000US110010050022,110010050022,"Block Group 2, Census Tract 50.02, District of Columbia, District of Columbia",42,65,42,65,0,12,0,12,0,12,0,12,0,12,0,12
1500000US110010050023,110010050023,"Block Group 3, Census Tract 50.02, District of Columbia, District of Columbia",0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1500000US110010050024,110010050024,"Block Group 4, Census Tract 50.02, District of Columbia, District of Columbia",128,113,128,113,0,12,0,12,0,12,0,12,0,12,0,12
1500000US110010052011,110010052011,"Block Group 1, Census Tract 52.01, District of Columbia, District of Columbia",276,182,215,183,61,100,0,12,0,12,0,12,0,12,0,12
1500000US110010052012,110010052012,"Block Group 2, Census Tract 52.01, District of Columbia, District of Columbia",94,121,22,36,0,12,0,12,0,12,72,115,0,12,0,12
1500000US110010052013,110010052013,"Block Group 3, Census Tract 52.01, District of Columbia, District of Columbia",97,126,72,117,0,12,0,12,0,12,25,43,0,12,0,12
1500000US110010052014,110010052014,"Block Group 4, Census Tract 52.01, District of Columbia, District of Columbia",20,33,0,12,0,12,0,12,0,12,20,33,0,12,0,12
1500000US110010053011,110010053011,"Block Group 1, Census Tract 53.01, District of Columbia, District of Columbia",64,82,0,12,0,12,48,79,0,12,0,12,0,12,16,25
1500000US110010053012,110010053012,"Block Group 2, Census Tract 53.01, District of Columbia, District of Columbia",85,84,48,76,0,12,0,12,0,12,37,41,0,12,0,12
1500000US110010053013,110010053013,"Block Group 3, Census Tract 53.01, District of Columbia, District of Columbia",91,103,36,53,0,12,0,12,0,12,55,88,0,12,0,12
1500000US110010053014,110010053014,"Block Group 4, Census Tract 53.01, District of Columbia, District of Columbia",68,77,68,77,0,12,0,12,0,12,0,12,0,12,0,12
1500000US110010055001,110010055001,"Block Group 1, Census Tract 55, District of Columbia, District of Columbia",25,40,0,12,0,12,0,12,0,12,25,40,0,12,0,12
1500000US110010055002,110010055002,"Block Group 2, Census Tract 55, District of Columbia, District of Columbia",97,119,0,12,0,12,0,12,0,12,97,119,0,12,0,12
1500000US110010055003,110010055003,"Block Group 3, Census Tract 55, District of Columbia, District of Columbia",141,155,0,12,24,39,0,12,86,138,31,50,0,12,0,12
1500000US110010055004,110010055004,"Block Group 4, Census Tract 55, District of Columbia, District of Columbia",230,155,0,12,69,113,69,111,0,12,92,116,0,12,0,12
1500000US110010055005,110010055005,"Block Group 5, Census Tract 55, District of Columbia, District of Columbia",26,42,0,12,0,12,0,12,26,42,0,12,0,12,0,12
