OFFENSE,BLOCK_GROUP,COUNT,BG_ID
ASSAULT W/DANGEROUS WEAPON,005500 3,21,A055003
ASSAULT W/DANGEROUS WEAPON,005500 4,9,A055004
ASSAULT W/DANGEROUS WEAPON,005500 5,4,A055005
ASSAULT W/DANGEROUS WEAPON,005600 1,10,A056001
ASSAULT W/DANGEROUS WEAPON,005600 2,7,A056002
ASSAULT W/DANGEROUS WEAPON,005600 3,6,A056003
ASSAULT W/DANGEROUS WEAPON,005600 4,13,A056004
ASSAULT W/DANGEROUS WEAPON,005800 1,91,A058001
ASSAULT W/DANGEROUS WEAPON,005800 2,42,A058002
ASSAULT W/DANGEROUS WEAPON,005900 1,83,A059001
ASSAULT W/DANGEROUS WEAPON,006202 1,24,A062021
ASSAULT W/DANGEROUS WEAPON,006400 1,64,A064001
ASSAULT W/DANGEROUS WEAPON,006400 2,39,A064002
ASSAULT W/DANGEROUS WEAPON,006500 1,9,A065001
ASSAULT W/DANGEROUS WEAPON,006500 2,2,A065002
ASSAULT W/DANGEROUS WEAPON,006600 1,4,A066001
ASSAULT W/DANGEROUS WEAPON,006700 1,8,A067001
ASSAULT W/DANGEROUS WEAPON,006700 2,2,A067002
ASSAULT W/DANGEROUS WEAPON,006700 3,6,A067003
ASSAULT W/DANGEROUS WEAPON,006801 1,20,A068011
ASSAULT W/DANGEROUS WEAPON,006801 2,10,A068012
ASSAULT W/DANGEROUS WEAPON,006802 1,10,A068021
ASSAULT W/DANGEROUS WEAPON,006802 2,5,A068022
ASSAULT W/DANGEROUS WEAPON,006804 1,69,A068041
ASSAULT W/DANGEROUS WEAPON,006900 1,17,A069001
ASSAULT W/DANGEROUS WEAPON,006900 2,8,A069002
ASSAULT W/DANGEROUS WEAPON,007000 1,3,A070001
ASSAULT W/DANGEROUS WEAPON,007000 2,20,A070002
ASSAULT W/DANGEROUS WEAPON,007100 1,16,A071001
ASSAULT W/DANGEROUS WEAPON,007100 2,42,A071002
ASSAULT W/DANGEROUS WEAPON,007200 1,13,A072001
ASSAULT W/DANGEROUS WEAPON,007200 2,37,A072002
ASSAULT W/DANGEROUS WEAPON,007301 1,1,A073011
ASSAULT W/DANGEROUS WEAPON,007304 1,124,A073041
ASSAULT W/DANGEROUS WEAPON,007304 2,32,A073042
ASSAULT W/DANGEROUS WEAPON,007304 3,41,A073043
